speed_mean,speed_std,speed_min,speed_max,speed_variance,total_distance_km,total_time_hrs,loitering_score,max_gap_hrs,total_gaps,gap_flag,position_jump_km,dist_from_port_km,behavioral_score,speed_consistency,MMSI,VesselName,final_risk_score
-1.2819804514998847,-0.19648125264739819,-1.4480151747476482,-0.5546248220441027,-0.18242532396391317,-1.3764609018417546,-0.033036322323570455,-0.29434955733732904,-0.2743908296601425,-0.02466205675668928,0.08083467535388446,-1.2744286972858414,-0.1445239634271715,-0.015510082017627535,-0.3458961074905409,354842000,CARNIVAL BREEZE,0.732
-1.1911710839163674,-0.04827076985180364,-1.830009635827709,-0.5269057448841609,-0.029623832705386696,-0.508781574456703,-0.386009290851767,-0.32279653079598397,0.04632308426200947,-0.2047478815369067,0.06428816723524361,-1.0774068131745236,-1.2159480906499174,0.03100780824333172,-0.09190679609999632,538003993,MOL MARVEL,0.7292
-1.178600920583773,-0.10556762017881864,-1.4523275741035457,-0.47440777688260377,-0.11676500900306742,-1.2601403549724712,-0.05779373827725867,-0.28007710162422006,-0.23367120019297136,-0.08390011872429509,0.07561717962556243,-1.6537606239817602,-0.10917372675037207,0.004399867227466094,-0.32695588186756824,249055000,CELEBRITY MILLENNIUM,0.7258
-1.0532729701747874,-0.09081946441725954,-1.6358475281921072,-0.35282152017381024,-0.07356932557369052,-1.0842358426588823,-0.24936411021546462,-0.302645234479479,-0.28961465014589466,-0.09072435130830026,0.05742042012404502,-1.6551638234894757,-0.22037662015252185,-0.023992254533416132,-0.13738605983336166,311001049,MARDI GRAS,0.7233
-1.0359711903754236,-0.09808983034595764,-1.0769409837841644,-0.37821680187488965,-0.13395407463686787,-1.376514401021387,-0.007529261051698454,-0.28922564485425317,-0.5956929836175043,-0.05104293788224732,0.08680081673642667,-1.2024393624861607,-0.9111876849675483,-0.019977154332846886,-0.09334176435511603,357659000,CARNIVAL GLORY,0.7207
-1.214686007816612,0.006570298918651676,-1.801065336589434,-0.49886184316107285,0.0120242218723955,-0.5355347862270579,-0.3740912715452722,-0.33572305958471016,0.03182315349303455,-0.21092276997375237,0.06308282929350077,-1.1265278309962499,-1.1383459333867254,0.03126901183998014,-0.02317686151067805,477334300,MAERSK LONDRINA,0.7187
-0.6880071313145688,-0.005871030778159849,-1.3970609249825388,-0.12480594645211687,0.014686764167110213,-1.1966232030558817,-0.20156476823537678,-0.32664388814717776,-0.9670930582484365,-0.2101800821196625,0.04715699401466078,-1.7945075919660594,-0.20565489640613513,0.02002932214726114,-0.06515879277181937,538007655,STAR DALMATIA,0.718
-0.9094042884048402,-0.059486109187665594,-1.3054407747371448,-0.20587631964343364,-0.051252864291625275,-1.6711976488485176,0.04315608618899231,-0.36669332581119346,-0.6014098900099599,-0.08761028240736415,0.07648559987694127,-1.448489352301617,-0.43617939876042167,-0.01563708548686886,-0.08709536914341702,538009198,PACIFIC RUBY,0.7179
-0.9724628400637002,-0.5390584408103886,0.06692026865014312,-0.5161675535726901,-0.6789379463720376,-1.1284932216252757,-0.05550277089891472,-0.24810397559972477,-0.5398116203120686,-0.05708042232289641,0.09479739247180186,-1.6732189305004186,-0.11043616625190426,0.10315382985762962,-0.8657695718593069,244140580,NIEUW STATENDAM,0.7168
-0.864027187102575,-0.03114781821593487,-1.6469629241455839,-0.25239939664452243,-0.011793471771714257,-1.0651405628981176,-0.24101341244160027,-0.32080410484967586,-0.5917520060760153,-0.16708876886412494,0.05208316318157263,-1.6520308303926214,-0.23404163890002205,0.019911182952871965,-0.0629041141003969,538007337,FRONT SIRIUS,0.7163
