MMSI,speed_mean,speed_std,speed_min,speed_max,speed_variance,total_distance_km,total_time_hrs,loitering_score,max_gap_hrs,total_gaps,gap_flag,position_jump_km,last_lat,last_lon,dist_from_port_km,behavioral_score,speed_consistency,VesselTypeLabel,VesselName,iso_risk_score,iso_flag,rendezvous_flag,rendezvous_risk,lstm_risk_score,lstm_flag,final_risk_score,final_flag
319597000,5.948132780082988,6.0791254088898805,0.0,13.8,36.95576573701035,223.897,146.437,0.3954,21.601,6.0,1.0,0.003,25.81403,-80.06413,13.66,1.7141,5.719875877785657,Pleasure,PODIUM,0.36568220681192354,0,0,0.0,1.2679996276838803e-05,0,0.1828,0
319605000,11.252439024390243,0.21672398658092842,10.9,11.7,0.046969286359530245,48.663,2.295,0.0451,0.164,0.0,0.0,0.0,25.10383,-79.61729,98.17,0.0,0.0,Tanker,STOLT PERSEVERANCE,0.5089119184216137,0,0,0.0,4.3380866190392675e-05,0,0.2545,0
319618000,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0311,-63.10665,3.04,0.0,0.0,Pleasure,PLAN B,0.3233752364763124,0,0,0.0,5.863791711198425e-06,0,0.1617,0
319627000,3.8338785046728976,5.398269035104518,0.0,14.3,29.14130857536839,182.145,146.385,0.4456,21.562,6.0,1.0,73.774,29.74437,-95.09792,9.1,1.7253,3.5072047351452103,Tanker,STOLT SNELAND,0.2862290367164454,0,0,0.0,5.726779727155191e-06,0,0.1431,0
319629000,0.25,0.07071067811865474,0.2,0.3,0.0049999999999999975,1.33,24.925,0.9493,24.925,1.0,1.0,1.33,17.8981,-62.85038,0.22,0.2817,0.07071067811865474,Pleasure,ARTEMIS,0.27158962858363755,0,0,0.0,9.198586050002967e-06,0,0.1358,0
319630000,0.0021390374331550803,0.014507021849416633,0.0,0.1,0.00021045368293945224,0.059,146.299,0.9996,21.8,6.0,1.0,0.001,49.30899,-123.08202,4.79,1.0967,0.0037125089778467617,Pleasure,ATTESSA IV,0.01453829805222695,0,0,0.0,2.257983203416326e-07,0,0.0073,0
319642000,7.979545454545455,5.16364744763112,0.0,11.8,26.663254963427413,73.402,25.231,0.2558,21.323,1.0,1.0,45.988,25.98137,-79.40441,80.15,1.3986,7.946792363950355,Pleasure,BROADWATER,0.48148148084235687,0,0,0.0,1.994754418062782e-05,0,0.2407,0
319653000,4.268030690537084,5.841555461898849,0.0,13.6,34.12377021444007,806.543,146.325,0.1536,45.336,5.0,1.0,577.346,29.98219,-93.88818,7.14,2.4159,5.004757552247868,Cargo,METEORA,0.5452175720882959,0,0,0.0,0.0001008729767810335,0,0.2726,0
319654000,11.916666666666666,0.23939806917164974,11.4,12.3,0.05731143552311439,62.41,2.833,0.0434,0.071,0.0,0.0,0.0,19.11817,-65.80868,79.99,0.0,0.0,Pleasure,MAJESTIC,0.5436408562210402,0,0,0.0,5.4853795115201935e-05,0,0.2718,0
319661000,0.06758620689655173,0.058092824683262136,0.0,0.2,0.003374776279680217,0.244,146.35,0.9983,21.55,6.0,1.0,0.0,26.74767,-80.05,2.11,0.259,0.01798100415005954,Pleasure,KOGO,0.014557202090490606,0,0,0.0,1.3055741035450058e-06,0,0.0073,0
